code,name,name_ascii,geonameid,iso,id,name_cn
AR.14,Misiones,Misiones,3430657,AR,14,米西奥内斯省
AR.09,Formosa,Formosa,3433896,AR,9,福尔摩沙省
AR.07,Buenos Aires F.D.,Buenos Aires F.D.,3433955,AR,7,布宜诺斯艾利斯
AR.08,Entre Rios,Entre Rios,3434137,AR,8,恩特雷里奥斯省
AR.06,Corrientes,Corrientes,3435214,AR,6,科连特斯省
AR.01,Buenos Aires,Buenos Aires,3435907,AR,1,布宜诺斯艾利斯省
AR.24,Tucuman,Tucuman,3833578,AR,24,图库曼省
AR.23,Tierra del Fuego,Tierra del Fuego,3834450,AR,23,火地岛省
AR.22,Santiago del Estero,Santiago del Estero,3835868,AR,22,圣地亚哥－德尔埃斯特罗省
AR.21,Santa Fe,Santa Fe,3836276,AR,21,圣大非省
AR.20,Santa Cruz,Santa Cruz,3836350,AR,20,圣克鲁斯省
AR.19,San Luis,San Luis,3837029,AR,19,圣路易斯省
AR.18,San Juan,San Juan,3837152,AR,18,圣胡安省
AR.17,Salta,Salta,3838231,AR,17,萨尔塔省
AR.16,Rio Negro,Rio Negro,3838830,AR,16,内格罗河省
AR.15,Neuquen,Neuquen,3843122,AR,15,内乌肯省
AR.13,Mendoza,Mendoza,3844419,AR,13,门多萨省
AR.12,La Rioja,La Rioja,3848949,AR,12,拉里奥哈省
AR.11,La Pampa,La Pampa,3849574,AR,11,拉潘帕省
AR.10,Jujuy,Jujuy,3853404,AR,10,胡胡伊省
AR.05,Cordoba,Cordoba,3860255,AR,5,科尔多瓦省
AR.04,Chubut,Chubut,3861244,AR,4,丘布特省
AR.03,Chaco,Chaco,3861887,AR,3,查科省
AR.02,Catamarca,Catamarca,3862286,AR,2,卡塔马卡省
